Date,Vehicle type,Number of spaces
22/10/2021,Recycling centre A (medium / large vans),17
22/10/2021,Recycling centre A (pedestrian / bicycle),15
23/10/2021,Recycling centre A (cars / small vans),320
23/10/2021,Recycling centre A (medium / large vans),17
23/10/2021,Recycling centre A (pedestrian / bicycle),15
26/10/2021,Recycling centre A (cars / small vans),320
26/10/2021,Recycling centre A (medium / large vans),17
26/10/2021,Recycling centre A (pedestrian / bicycle),15
27/10/2021,Recycling centre A (cars / small vans),320
27/10/2021,Recycling centre A (medium / large vans),17
27/10/2021,Recycling centre A (pedestrian / bicycle),15
28/10/2021,Recycling centre A (cars / small vans),320
28/10/2021,Recycling centre A (medium / large vans),17
28/10/2021,Recycling centre A (pedestrian / bicycle),15
29/10/2021,Recycling centre A (cars / small vans),320
29/10/2021,Recycling centre A (medium / large vans),17
29/10/2021,Recycling centre A (pedestrian / bicycle),15
30/10/2021,Recycling centre A (cars / small vans),320
30/10/2021,Recycling centre A (medium / large vans),17
30/10/2021,Recycling centre A (pedestrian / bicycle),15
02/11/2021,Recycling centre A (cars / small vans),320
02/11/2021,Recycling centre A (medium / large vans),17
02/11/2021,Recycling centre A (pedestrian / bicycle),15
03/11/2021,Recycling centre A (cars / small vans),320
03/11/2021,Recycling centre A (medium / large vans),17
03/11/2021,Recycling centre A (pedestrian / bicycle),15
04/11/2021,Recycling centre A (cars / small vans),320
04/11/2021,Recycling centre A (medium / large vans),17
04/11/2021,Recycling centre A (pedestrian / bicycle),15
05/11/2021,Recycling centre A (cars / small vans),320
05/11/2021,Recycling centre A (medium / large vans),17
05/11/2021,Recycling centre A (pedestrian / bicycle),15
06/11/2021,Recycling centre A (cars / small vans),320
06/11/2021,Recycling centre A (medium / large vans),17
06/11/2021,Recycling centre A (pedestrian / bicycle),15
09/11/2021,Recycling centre A (cars / small vans),320
09/11/2021,Recycling centre A (medium / large vans),17
09/11/2021,Recycling centre A (pedestrian / bicycle),15
10/11/2021,Recycling centre A (cars / small vans),320
10/11/2021,Recycling centre A (medium / large vans),17
10/11/2021,Recycling centre A (pedestrian / bicycle),15
11/11/2021,Recycling centre A (cars / small vans),320
11/11/2021,Recycling centre A (medium / large vans),17
11/11/2021,Recycling centre A (pedestrian / bicycle),15
12/11/2021,Recycling centre A (cars / small vans),320
12/11/2021,Recycling centre A (medium / large vans),17
12/11/2021,Recycling centre A (pedestrian / bicycle),15
13/11/2021,Recycling centre A (cars / small vans),320
13/11/2021,Recycling centre A (medium / large vans),17
13/11/2021,Recycling centre A (pedestrian / bicycle),15
16/11/2021,Recycling centre A (cars / small vans),320
16/11/2021,Recycling centre A (medium / large vans),17
16/11/2021,Recycling centre A (pedestrian / bicycle),15
17/11/2021,Recycling centre A (cars / small vans),320
17/11/2021,Recycling centre A (medium / large vans),17
17/11/2021,Recycling centre A (pedestrian / bicycle),15
18/11/2021,Recycling centre A (cars / small vans),320
18/11/2021,Recycling centre A (medium / large vans),17
18/11/2021,Recycling centre A (pedestrian / bicycle),15
19/11/2021,Recycling centre A (cars / small vans),320
19/11/2021,Recycling centre A (medium / large vans),17
19/11/2021,Recycling centre A (pedestrian / bicycle),15
20/11/2021,Recycling centre A (cars / small vans),320
20/11/2021,Recycling centre A (medium / large vans),17
20/11/2021,Recycling centre A (pedestrian / bicycle),15
23/11/2021,Recycling centre A (cars / small vans),320
23/11/2021,Recycling centre A (medium / large vans),17
23/11/2021,Recycling centre A (pedestrian / bicycle),15
24/11/2021,Recycling centre A (cars / small vans),320
24/11/2021,Recycling centre A (medium / large vans),17
24/11/2021,Recycling centre A (pedestrian / bicycle),15
25/11/2021,Recycling centre A (cars / small vans),320
25/11/2021,Recycling centre A (medium / large vans),17
25/11/2021,Recycling centre A (pedestrian / bicycle),15
26/11/2021,Recycling centre A (cars / small vans),320
26/11/2021,Recycling centre A (medium / large vans),17
26/11/2021,Recycling centre A (pedestrian / bicycle),15
27/11/2021,Recycling centre A (cars / small vans),320
27/11/2021,Recycling centre A (medium / large vans),17
27/11/2021,Recycling centre A (pedestrian / bicycle),15
30/11/2021,Recycling centre A (cars / small vans),320
30/11/2021,Recycling centre A (medium / large vans),17
30/11/2021,Recycling centre A (pedestrian / bicycle),15
01/12/2021,Recycling centre A (cars / small vans),320
01/12/2021,Recycling centre A (medium / large vans),17
01/12/2021,Recycling centre A (pedestrian / bicycle),15
02/12/2021,Recycling centre A (cars / small vans),320
02/12/2021,Recycling centre A (medium / large vans),17
02/12/2021,Recycling centre A (pedestrian / bicycle),15
03/12/2021,Recycling centre A (cars / small vans),320
03/12/2021,Recycling centre A (medium / large vans),17
03/12/2021,Recycling centre A (pedestrian / bicycle),15
04/12/2021,Recycling centre A (cars / small vans),320
04/12/2021,Recycling centre A (medium / large vans),17
04/12/2021,Recycling centre A (pedestrian / bicycle),15
07/12/2021,Recycling centre A (cars / small vans),320
07/12/2021,Recycling centre A (medium / large vans),17
07/12/2021,Recycling centre A (pedestrian / bicycle),15
08/12/2021,Recycling centre A (cars / small vans),320
08/12/2021,Recycling centre A (medium / large vans),17
08/12/2021,Recycling centre A (pedestrian / bicycle),15
09/12/2021,Recycling centre A (cars / small vans),320
09/12/2021,Recycling centre A (medium / large vans),17
09/12/2021,Recycling centre A (pedestrian / bicycle),15
10/12/2021,Recycling centre A (cars / small vans),320
10/12/2021,Recycling centre A (medium / large vans),17
10/12/2021,Recycling centre A (pedestrian / bicycle),15
11/12/2021,Recycling centre A (cars / small vans),320
11/12/2021,Recycling centre A (medium / large vans),17
11/12/2021,Recycling centre A (pedestrian / bicycle),15
14/12/2021,Recycling centre A (cars / small vans),320
14/12/2021,Recycling centre A (medium / large vans),17
14/12/2021,Recycling centre A (pedestrian / bicycle),15
